ÈÕÆÚ,±ê×¢
20200101,3
20200102,1
20200103,1
20200104,2
20200105,2
20200106,1
20200107,1
20200108,1
20200109,1
20200110,1
20200111,2
20200112,2
20200113,1
20200114,1
20200115,1
20200116,1
20200117,1
20200118,2
20200119,1
20200120,1
20200121,1
20200122,1
20200123,1
20200124,3
20200125,3
20200126,3
20200127,3
20200128,3
20200129,3
20200130,3
20200131,3
20200201,2
20200202,2
20200203,1
20200204,1
20200205,1
20200206,1
20200207,1
20200208,2
20200209,2
20200210,1
20200211,1
20200212,1
20200213,1
20200214,1
20200215,2
20200216,2
20200217,1
20200218,1
20200219,1
20200220,1
20200221,1
20200222,2
20200223,2
20200224,1
20200225,1
20200226,1
20200227,1
20200228,1
20200229,2
20200301,2
20200302,1
20200303,1
20200304,1
20200305,1
20200306,1
20200307,2
20200308,2
20200309,1
20200310,1
20200311,1
20200312,1
20200313,1
20200314,2
20200315,2
20200316,1
20200317,1
20200318,1
20200319,1
20200320,1
20200321,2
20200322,2
20200323,1
20200324,1
20200325,1
20200326,1
20200327,1
20200328,2
20200329,2
20200330,1
20200331,1
20200401,1
20200402,1
20200403,1
20200404,3
20200405,3
20200406,3
20200407,1
20200408,1
20200409,1
20200410,1
20200411,2
20200412,2
20200413,1
20200414,1
20200415,1
20200416,1
20200417,1
20200418,2
20200419,2
20200420,1
20200421,1
20200422,1
20200423,1
20200424,1
20200425,2
20200426,1
20200427,1
20200428,1
20200429,1
20200430,1
20200501,3
20200502,3
20200503,3
20200504,3
20200505,3
20200506,1
20200507,1
20200508,1
20200509,1
20200510,2
20200511,1
20200512,1
20200513,1
20200514,1
20200515,1
20200516,2
20200517,2
20200518,1
20200519,1
20200520,1
20200521,1
20200522,1
20200523,2
20200524,2
20200525,1
20200526,1
20200527,1
20200528,1
20200529,1
20200530,2
20200531,2
20200601,1
20200602,1
20200603,1
20200604,1
20200605,1
20200606,2
20200607,2
20200608,1
20200609,1
20200610,1
20200611,1
20200612,1
20200613,2
20200614,2
20200615,1
20200616,1
20200617,1
20200618,1
20200619,1
20200620,2
20200621,2
20200622,1
20200623,1
20200624,1
20200625,3
20200626,3
20200627,3
20200628,1
20200629,1
20200630,1
20200701,1
20200702,1
20200703,1
20200704,2
20200705,2
20200706,1
20200707,1
20200708,1
20200709,1
20200710,1
20200711,2
20200712,2
20200713,1
20200714,1
20200715,1
20200716,1
20200717,1
20200718,2
20200719,2
20200720,1
20200721,1
20200722,1
20200723,1
20200724,1
20200725,2
20200726,2
20200727,1
20200728,1
20200729,1
20200730,1
20200731,1
20200801,2
20200802,2
20200803,1
20200804,1
20200805,1
20200806,1
20200807,1
20200808,2
20200809,2
20200810,1
20200811,1
20200812,1
20200813,1
20200814,1
20200815,2
20200816,2
20200817,1
20200818,1
20200819,1
20200820,1
20200821,1
20200822,2
20200823,2
20200824,1
20200825,1
20200826,1
20200827,1
20200828,1
20200829,2
20200830,2
20200831,1
20200901,1
20200902,1
20200903,1
20200904,1
20200905,2
20200906,2
20200907,1
20200908,1
20200909,1
20200910,1
20200911,1
20200912,2
20200913,2
20200914,1
20200915,1
20200916,1
20200917,1
20200918,1
20200919,2
20200920,2
20200921,1
20200922,1
20200923,1
20200924,1
20200925,1
20200926,2
20200927,1
20200928,1
20200929,1
20200930,1
20201001,3
20201002,3
20201003,3
20201004,3
20201005,3
20201006,3
20201007,3
20201008,3
20201009,1
20201010,1
20201011,2
20201012,1
20201013,1
20201014,1
20201015,1
20201016,1
20201017,2
20201018,2
20201019,1
20201020,1
20201021,1
20201022,1
20201023,1
20201024,2
20201025,2
20201026,1
20201027,1
20201028,1
20201029,1
20201030,1
20201031,2
20201101,2
20201102,1
20201103,1
20201104,1
20201105,1
20201106,1
20201107,2
20201108,2
20201109,1
20201110,1
20201111,1
20201112,1
20201113,1
20201114,2
20201115,2
20201116,1
20201117,1
20201118,1
20201119,1
20201120,1
20201121,2
20201122,2
20201123,1
20201124,1
20201125,1
20201126,1
20201127,1
20201128,2
20201129,2
20201130,1
20201201,1
20201202,1
20201203,1
20201204,1
20201205,2
20201206,2
20201207,1
20201208,1
20201209,1
20201210,1
20201211,1
20201212,2
20201213,2
20201214,1
20201215,1
20201216,1
20201217,1
20201218,1
20201219,2
20201220,2
20201221,1
20201222,1
20201223,1
20201224,1
20201225,1
20201226,2
20201227,2
20201228,1
20201229,1
20201230,1
20201231,1
