用户ID,进站名称,进站时间,出站名称,出站时间,渠道编号,价格
d4ec5a712f2b24ce226970a8d315dfce,Sta18,2020/7/15 14:21,Sta9,2020/7/15 14:39,3,200
328266c5e7a8fccb976029683f723725,Sta74,2020/7/15 19:40,Sta133,2020/7/15 20:49,3,700
4ff0e057af749864432d223ae0d0fa49,Sta69,2020/7/15 20:02,Sta96,2020/7/15 20:17,3,300
59add5aed8f0d030858c01a78c9c79fe,Sta110,2020/7/15 16:09,Sta123,2020/7/15 16:39,3,400
c285b7d3d347f4a1f46c826307bd1b8a,Sta36,2020/7/15 15:20,Sta28,2020/7/15 15:40,3,400
3bee2122c0b0f7b5b81802cbc3873ea1,Sta87,2020/7/14 6:43,Sta67,2020/7/14 7:50,3,600
00f4367c20508f4bdd382bd9c756663d,Sta162,2020/7/14 8:43,Sta20,2020/7/14 8:58,2,300
2592f6918c2a741c8233072319a7242d,Sta126,2020/7/14 11:09,Sta27,2020/7/14 11:43,3,300
c94d9b55d17b75ce7cc269600a2acc97,Sta5,2020/7/14 20:10,Sta1,2020/7/14 20:17,3,200
b533091ebbbe9e421e05676ab9e98f4d,Sta132,2020/7/13 13:21,Sta55,2020/7/13 13:57,3,400
fe7a646f776a62292f0eae486fa675ff,Sta89,2020/7/13 9:44,Sta136,2020/7/13 9:50,3,200
334495baaad98ed5dd3f3f2f41751b14,Sta64,2020/7/13 18:24,Sta108,2020/7/13 18:37,2,300
6570dd5cd86ac400d4a4cbe4cb17f331,Sta61,2020/7/12 8:10,Sta143,2020/7/12 8:20,3,200
6ef8bbc625bf2503de86d17ee61d6d80,Sta163,2020/7/12 15:25,Sta18,2020/7/12 15:43,3,200
47b83377b54c85b2bace3afac3878d93,Sta108,2020/7/11 22:25,Sta129,2020/7/11 22:51,2,300
0049766be88006a13dd08cab8f9cb1e2,Sta82,2020/7/11 21:51,Sta63,2020/7/11 22:45,3,500
062973d0d598f8aecf3ad8487f9a5c32,Sta115,2020/7/10 13:44,Sta162,2020/7/10 13:50,3,200
bb84854f77e3e5e43fad112191214658,Sta31,2020/7/10 11:59,Sta126,2020/7/10 12:30,3,300
f400e1514eb482282403378d20a56ee8,Sta22,2020/7/9 8:32,Sta138,2020/7/9 8:41,3,200
e2d06d7913703261bddcda4ca0530bde,Sta90,2020/7/9 20:16,Sta31,2020/7/9 20:28,2,200
30f780549cf860710925f757c9c8aecb,Sta82,2020/7/9 18:13,Sta123,2020/7/9 19:18,2,600
6a8ea33adf9a1ab3a9de739885b72947,Sta160,2020/7/9 13:23,Sta94,2020/7/9 13:31,3,200
1ea1950444e36b6a7959a789ed4042a0,Sta133,2020/7/9 13:18,Sta67,2020/7/9 13:32,3,200
98ea45625787f3f7927f2fc878be83ca,Sta95,2020/7/8 9:10,Sta63,2020/7/8 9:28,3,200
147e5eb89863fdf77738ad0b360bae2a,Sta65,2020/7/8 20:25,Sta154,2020/7/8 21:10,3,600
00f2520b4206576cb9e939a8e99f0728,Sta48,2020/7/8 8:03,Sta9,2020/7/8 8:35,3,400
6d920951b05f87bb552629d0d2f7de23,Sta61,2020/7/8 19:15,Sta41,2020/7/8 19:45,3,400
b79d926ab466b5e4278f4f339204318b,Sta134,2020/7/7 13:30,Sta63,2020/7/7 14:04,3,300
c2a023dc517d04d8ed19ca6c524b7d20,Sta22,2020/7/7 9:13,Sta54,2020/7/7 9:57,2,500
68378c6a7b550825b018a8ba53833dfb,Sta107,2020/7/7 20:57,Sta65,2020/7/7 21:36,3,600
92a52eceb28e7d103737eabf0dda3769,Sta64,2020/7/7 15:04,Sta108,2020/7/7 15:21,2,300
